            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2458913.500000000, A.D. 2020-Mar-05 00:00:00.0000,  3.972385014153787E+09, -9.689162351830227E+09,  4.456959830446758E+08,
2458914.500000000, A.D. 2020-Mar-06 00:00:00.0000,  3.970375528692332E+09, -9.684558867787355E+09,  4.454906354930816E+08,
2458915.500000000, A.D. 2020-Mar-07 00:00:00.0000,  3.968366039689757E+09, -9.679955373960987E+09,  4.452852875481796E+08,
2458916.500000000, A.D. 2020-Mar-08 00:00:00.0000,  3.966356547144847E+09, -9.675351870336662E+09,  4.450799392097063E+08,
2458917.500000000, A.D. 2020-Mar-09 00:00:00.0000,  3.964347051056251E+09, -9.670748356899952E+09,  4.448745904773860E+08,
2458918.500000000, A.D. 2020-Mar-10 00:00:00.0000,  3.962337551422500E+09, -9.666144833636454E+09,  4.446692413509350E+08,
2458919.500000000, A.D. 2020-Mar-11 00:00:00.0000,  3.960328048242009E+09, -9.661541300531769E+09,  4.444638918300591E+08,
2458920.500000000, A.D. 2020-Mar-12 00:00:00.0000,  3.958318541513079E+09, -9.656937757571497E+09,  4.442585419144588E+08,
2458921.500000000, A.D. 2020-Mar-13 00:00:00.0000,  3.956309031233905E+09, -9.652334204741213E+09,  4.440531916038256E+08,
2458922.500000000, A.D. 2020-Mar-14 00:00:00.0000,  3.954299517402570E+09, -9.647730642026463E+09,  4.438478408978443E+08,
2458923.500000000, A.D. 2020-Mar-15 00:00:00.0000,  3.952290000017048E+09, -9.643127069412750E+09,  4.436424897961969E+08,
2458924.500000000, A.D. 2020-Mar-16 00:00:00.0000,  3.950280479075199E+09, -9.638523486885536E+09,  4.434371382985587E+08,
2458925.500000000, A.D. 2020-Mar-17 00:00:00.0000,  3.948270954574767E+09, -9.633919894430220E+09,  4.432317864046035E+08,
2458926.500000000, A.D. 2020-Mar-18 00:00:00.0000,  3.946261426513373E+09, -9.629316292032143E+09,  4.430264341140022E+08,
2458927.500000000, A.D. 2020-Mar-19 00:00:00.0000,  3.944251894888513E+09, -9.624712679676579E+09,  4.428210814264250E+08,
2458928.500000000, A.D. 2020-Mar-20 00:00:00.0000,  3.942242359697551E+09, -9.620109057348732E+09,  4.426157283415422E+08,
2458929.500000000, A.D. 2020-Mar-21 00:00:00.0000,  3.940232820937714E+09, -9.615505425033733E+09,  4.424103748590231E+08,
2458930.500000000, A.D. 2020-Mar-22 00:00:00.0000,  3.938223278606084E+09, -9.610901782716640E+09,  4.422050209785399E+08,
2458931.500000000, A.D. 2020-Mar-23 00:00:00.0000,  3.936213732699598E+09, -9.606298130382433E+09,  4.419996666997676E+08,
2458932.500000000, A.D. 2020-Mar-24 00:00:00.0000,  3.934204183215033E+09, -9.601694468016022E+09,  4.417943120223827E+08,
2458933.500000000, A.D. 2020-Mar-25 00:00:00.0000,  3.932194630149003E+09, -9.597090795602234E+09,  4.415889569460669E+08,
2458934.500000000, A.D. 2020-Mar-26 00:00:00.0000,  3.930185073497954E+09, -9.592487113125828E+09,  4.413836014705057E+08,
2458935.500000000, A.D. 2020-Mar-27 00:00:00.0000,  3.928175513258161E+09, -9.587883420571491E+09,  4.411782455953898E+08,
2458936.500000000, A.D. 2020-Mar-28 00:00:00.0000,  3.926165949425708E+09, -9.583279717923841E+09,  4.409728893204160E+08,
2458937.500000000, A.D. 2020-Mar-29 00:00:00.0000,  3.924156381996498E+09, -9.578676005167431E+09,  4.407675326452889E+08,
2458938.500000000, A.D. 2020-Mar-30 00:00:00.0000,  3.922146810966234E+09, -9.574072282286755E+09,  4.405621755697165E+08,
2458939.500000000, A.D. 2020-Mar-31 00:00:00.0000,  3.920137236330420E+09, -9.569468549266247E+09,  4.403568180934176E+08,
2458940.500000000, A.D. 2020-Apr-01 00:00:00.0000,  3.918127658084349E+09, -9.564864806090290E+09,  4.401514602161169E+08,
2458941.500000000, A.D. 2020-Apr-02 00:00:00.0000,  3.916118076223101E+09, -9.560261052743227E+09,  4.399461019375482E+08,
2458942.500000000, A.D. 2020-Apr-03 00:00:00.0000,  3.914108490741532E+09, -9.555657289209356E+09,  4.397407432574515E+08,
2458943.500000000, A.D. 2020-Apr-04 00:00:00.0000,  3.912098901634273E+09, -9.551053515472952E+09,  4.395353841755815E+08,
2458944.500000000, A.D. 2020-Apr-05 00:00:00.0000,  3.910089308895718E+09, -9.546449731518261E+09,  4.393300246916957E+08,
2458945.500000000, A.D. 2020-Apr-06 00:00:00.0000,  3.908079712520022E+09, -9.541845937329521E+09,  4.391246648055639E+08,
2458946.500000000, A.D. 2020-Apr-07 00:00:00.0000,  3.906070112501094E+09, -9.537242132890961E+09,  4.389193045169649E+08,
2458947.500000000, A.D. 2020-Apr-08 00:00:00.0000,  3.904060508832589E+09, -9.532638318186823E+09,  4.387139438256855E+08,
2458948.500000000, A.D. 2020-Apr-09 00:00:00.0000,  3.902050901507905E+09, -9.528034493201366E+09,  4.385085827315240E+08,
2458949.500000000, A.D. 2020-Apr-10 00:00:00.0000,  3.900041290520175E+09, -9.523430657918884E+09,  4.383032212342849E+08,
2458950.500000000, A.D. 2020-Apr-11 00:00:00.0000,  3.898031675862265E+09, -9.518826812323721E+09,  4.380978593337831E+08,
2458951.500000000, A.D. 2020-Apr-12 00:00:00.0000,  3.896022057526768E+09, -9.514222956400272E+09,  4.378924970298395E+08,
2458952.500000000, A.D. 2020-Apr-13 00:00:00.0000,  3.894012435505999E+09, -9.509619090133032E+09,  4.376871343222861E+08,
2458953.500000000, A.D. 2020-Apr-14 00:00:00.0000,  3.892002809791996E+09, -9.505015213506584E+09,  4.374817712109575E+08,
2458954.500000000, A.D. 2020-Apr-15 00:00:00.0000,  3.889993180376515E+09, -9.500411326505632E+09,  4.372764076956940E+08,
2458955.500000000, A.D. 2020-Apr-16 00:00:00.0000,  3.887983547251033E+09, -9.495807429115034E+09,  4.370710437763419E+08,
2458956.500000000, A.D. 2020-Apr-17 00:00:00.0000,  3.885973910406746E+09, -9.491203521319811E+09,  4.368656794527454E+08,
2458957.500000000, A.D. 2020-Apr-18 00:00:00.0000,  3.883964269834579E+09, -9.486599603105183E+09,  4.366603147247524E+08,
2458958.500000000, A.D. 2020-Apr-19 00:00:00.0000,  3.881954625525188E+09, -9.481995674456596E+09,  4.364549495922050E+08,
2458959.500000000, A.D. 2020-Apr-20 00:00:00.0000,  3.879944977468975E+09, -9.477391735359760E+09,  4.362495840549388E+08,
2458960.500000000, A.D. 2020-Apr-21 00:00:00.0000,  3.877935325656104E+09, -9.472787785800673E+09,  4.360442181127801E+08,
2458961.500000000, A.D. 2020-Apr-22 00:00:00.0000,  3.875925670076521E+09, -9.468183825765659E+09,  4.358388517655396E+08,
2458962.500000000, A.D. 2020-Apr-23 00:00:00.0000,  3.873916010719985E+09, -9.463579855241419E+09,  4.356334850130105E+08,
2458963.500000000, A.D. 2020-Apr-24 00:00:00.0000,  3.871906347576101E+09, -9.458975874215042E+09,  4.354281178549552E+08,
2458964.500000000, A.D. 2020-Apr-25 00:00:00.0000,  3.869896680634371E+09, -9.454371882674057E+09,  4.352227502911077E+08,
2458965.500000000, A.D. 2020-Apr-26 00:00:00.0000,  3.867887009884243E+09, -9.449767880606464E+09,  4.350173823211627E+08,
2458966.500000000, A.D. 2020-Apr-27 00:00:00.0000,  3.865877335315185E+09, -9.445163868000757E+09,  4.348120139447637E+08,
2458967.500000000, A.D. 2020-Apr-28 00:00:00.0000,  3.863867656916756E+09, -9.440559844845942E+09,  4.346066451615014E+08,
2458968.500000000, A.D. 2020-Apr-29 00:00:00.0000,  3.861857974678706E+09, -9.435955811131540E+09,  4.344012759709015E+08,
2458969.500000000, A.D. 2020-Apr-30 00:00:00.0000,  3.859848288591066E+09, -9.431351766847584E+09,  4.341959063724170E+08,
2458970.500000000, A.D. 2020-May-01 00:00:00.0000,  3.857838598644265E+09, -9.426747711984581E+09,  4.339905363654213E+08,
2458971.500000000, A.D. 2020-May-02 00:00:00.0000,  3.855828904829235E+09, -9.422143646533453E+09,  4.337851659492068E+08,
2458972.500000000, A.D. 2020-May-03 00:00:00.0000,  3.853819207137526E+09, -9.417539570485458E+09,  4.335797951229753E+08,
2458973.500000000, A.D. 2020-May-04 00:00:00.0000,  3.851809505561400E+09, -9.412935483832069E+09,  4.333744238858442E+08,
2458974.500000000, A.D. 2020-May-05 00:00:00.0000,  3.849799800093914E+09, -9.408331386564823E+09,  4.331690522368522E+08,
2458975.500000000, A.D. 2020-May-06 00:00:00.0000,  3.847790090728966E+09, -9.403727278675158E+09,  4.329636801749659E+08,
2458976.500000000, A.D. 2020-May-07 00:00:00.0000,  3.845780377461303E+09, -9.399123160154200E+09,  4.327583076990976E+08,
2458977.500000000, A.D. 2020-May-08 00:00:00.0000,  3.843770660286486E+09, -9.394519030992573E+09,  4.325529348081236E+08,
2458978.500000000, A.D. 2020-May-09 00:00:00.0000,  3.841760939200793E+09, -9.389914891180197E+09,  4.323475615009165E+08,
