            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2458927.500000000, A.D. 2020-Mar-19 00:00:00.0000, -1.488916540970004E+08,  3.705094705486523E+06,  3.923197223106399E+02,
2458928.500000000, A.D. 2020-Mar-20 00:00:00.0000, -1.489761595187761E+08,  1.121456023167031E+06,  5.906564821084612E+02,
2458929.500000000, A.D. 2020-Mar-21 00:00:00.0000, -1.490158804310093E+08, -1.462690184800286E+06,  7.767472689191345E+02,
2458930.500000000, A.D. 2020-Mar-22 00:00:00.0000, -1.490108133647598E+08, -4.046532560061080E+06,  9.476791988268960E+02,
2458931.500000000, A.D. 2020-Mar-23 00:00:00.0000, -1.489609764885561E+08, -6.629257118846040E+06,  1.101253803499974E+03,
2458932.500000000, A.D. 2020-Mar-24 00:00:00.0000, -1.488664097996128E+08, -9.210048902490236E+06,  1.236020056077279E+03,
2458933.500000000, A.D. 2020-Mar-25 00:00:00.0000, -1.487271752003120E+08, -1.178809360932003E+07,  1.351296272052452E+03,
2458934.500000000, A.D. 2020-Mar-26 00:00:00.0000, -1.485433564303433E+08, -1.436257922253965E+07,  1.447178375084884E+03,
2458935.500000000, A.D. 2020-Mar-27 00:00:00.0000, -1.483150588382424E+08, -1.693269761694097E+07,  1.524533011038788E+03,
2458936.500000000, A.D. 2020-Mar-28 00:00:00.0000, -1.480424090032761E+08, -1.949764612029594E+07,  1.584976357290521E+03,
2458937.500000000, A.D. 2020-Mar-29 00:00:00.0000, -1.477255542411603E+08, -2.205662902512618E+07,  1.630841563301161E+03,
2458938.500000000, A.D. 2020-Mar-30 00:00:00.0000, -1.473646620281116E+08, -2.460885908556893E+07,  1.665138031499460E+03,
2458939.500000000, A.D. 2020-Mar-31 00:00:00.0000, -1.469599193456166E+08, -2.715355907695544E+07,  1.691503094768152E+03,
2458940.500000000, A.D. 2020-Apr-01 00:00:00.0000, -1.465115318783955E+08, -2.968996352146945E+07,  1.714140568107367E+03,
2458941.500000000, A.D. 2020-Apr-02 00:00:00.0000, -1.460197228947349E+08, -3.221732066535861E+07,  1.737731444774196E+03,
2458942.500000000, A.D. 2020-Apr-03 00:00:00.0000, -1.454847315215293E+08, -3.473489469929902E+07,  1.767291341898963E+03,
2458943.500000000, A.D. 2020-Apr-04 00:00:00.0000, -1.449068100455421E+08, -3.724196801236556E+07,  1.807941495263949E+03,
2458944.500000000, A.D. 2020-Apr-05 00:00:00.0000, -1.442862199213959E+08, -3.973784295978350E+07,  1.864563502939418E+03,
2458945.500000000, A.D. 2020-Apr-06 00:00:00.0000, -1.436232264691537E+08, -4.222184229117486E+07,  1.941333876458928E+03,
2458946.500000000, A.D. 2020-Apr-07 00:00:00.0000, -1.429180928608611E+08, -4.469330725737562E+07,  2.041188883880153E+03,
2458947.500000000, A.D. 2020-Apr-08 00:00:00.0000, -1.421710747525182E+08, -4.715159279959985E+07,  2.165338681194931E+03,
2458948.500000000, A.D. 2020-Apr-09 00:00:00.0000, -1.413824173229019E+08, -4.959606023606993E+07,  2.312988861300051E+03,
2458949.500000000, A.D. 2020-Apr-10 00:00:00.0000, -1.405523560045261E+08, -5.202606907881948E+07,  2.481388951297849E+03,
2458950.500000000, A.D. 2020-Apr-11 00:00:00.0000, -1.396811208605737E+08, -5.444097020185150E+07,  2.666210761841387E+03,
2458951.500000000, A.D. 2020-Apr-12 00:00:00.0000, -1.387689431668369E+08, -5.684010202379402E+07,  2.862133618753403E+03,
2458952.500000000, A.D. 2020-Apr-13 00:00:00.0000, -1.378160622023605E+08, -5.922279004526727E+07,  3.063459876116365E+03,
2458953.500000000, A.D. 2020-Apr-14 00:00:00.0000, -1.368227307186075E+08, -6.158834890454143E+07,  3.264621782500297E+03,
2458954.500000000, A.D. 2020-Apr-15 00:00:00.0000, -1.357892184933687E+08, -6.393608566731719E+07,  3.460522590685636E+03,
2458955.500000000, A.D. 2020-Apr-16 00:00:00.0000, -1.347158141501158E+08, -6.626530327559873E+07,  3.646724330727011E+03,
2458956.500000000, A.D. 2020-Apr-17 00:00:00.0000, -1.336028257797681E+08, -6.857530355315447E+07,  3.819527863979340E+03,
2458957.500000000, A.D. 2020-Apr-18 00:00:00.0000, -1.324505809182200E+08, -7.086538958647169E+07,  3.975993650887161E+03,
2458958.500000000, A.D. 2020-Apr-19 00:00:00.0000, -1.312594262877446E+08, -7.313486755664267E+07,  4.113939573518932E+03,
2458959.500000000, A.D. 2020-Apr-20 00:00:00.0000, -1.300297275349620E+08, -7.538304820542167E+07,  4.231936890222132E+03,
2458960.500000000, A.D. 2020-Apr-21 00:00:00.0000, -1.287618690520966E+08, -7.760924813156176E+07,  4.329312448691577E+03,
2458961.500000000, A.D. 2020-Apr-22 00:00:00.0000, -1.274562538666703E+08, -7.981279107669285E+07,  4.406156133532524E+03,
2458962.500000000, A.D. 2020-Apr-23 00:00:00.0000, -1.261133035255244E+08, -8.199300930158384E+07,  4.463327085755765E+03,
2458963.500000000, A.D. 2020-Apr-24 00:00:00.0000, -1.247334578764814E+08, -8.414924509093408E+07,  4.502450081091374E+03,
2458964.500000000, A.D. 2020-Apr-25 00:00:00.0000, -1.233171746585141E+08, -8.628085237111178E+07,  4.525894025195390E+03,
2458965.500000000, A.D. 2020-Apr-26 00:00:00.0000, -1.218649288387558E+08, -8.838719839148091E+07,  4.536726932808757E+03,
2458966.500000000, A.D. 2020-Apr-27 00:00:00.0000, -1.203772116668554E+08, -9.046766541214556E+07,  4.538644636888057E+03,
2458967.500000000, A.D. 2020-Apr-28 00:00:00.0000, -1.188545294359820E+08, -9.252165235566202E+07,  4.535872190341353E+03,
2458968.500000000, A.D. 2020-Apr-29 00:00:00.0000, -1.172974019304443E+08, -9.454857640224236E+07,  4.533036125481129E+03,
2458969.500000000, A.D. 2020-Apr-30 00:00:00.0000, -1.157063604985608E+08, -9.654787451184686E+07,  4.535002062201500E+03,
2458970.500000000, A.D. 2020-May-01 00:00:00.0000, -1.140819456302711E+08, -9.851900481293093E+07,  4.546666868954897E+03,
2458971.500000000, A.D. 2020-May-02 00:00:00.0000, -1.124247038798170E+08, -1.004614476838035E+08,  4.572691098600626E+03,
2458972.500000000, A.D. 2020-May-03 00:00:00.0000, -1.107351840177084E+08, -1.023747061714139E+08,  4.617161458559334E+03,
2458973.500000000, A.D. 2020-May-04 00:00:00.0000, -1.090139324976113E+08, -1.042583052015555E+08,  4.683191375389695E+03,
2458974.500000000, A.D. 2020-May-05 00:00:00.0000, -1.072614887184201E+08, -1.061117889719216E+08,  4.772503502495587E+03,
2458975.500000000, A.D. 2020-May-06 00:00:00.0000, -1.054783810546721E+08, -1.079347161752832E+08,  4.885082658983767E+03,
2458976.500000000, A.D. 2020-May-07 00:00:00.0000, -1.036651249298129E+08, -1.097266533734955E+08,  5.019014897219837E+03,
2458977.500000000, A.D. 2020-May-08 00:00:00.0000, -1.018222239470448E+08, -1.114871677303081E+08,  5.170604690484703E+03,
2458978.500000000, A.D. 2020-May-09 00:00:00.0000, -9.995017416781908E+07, -1.132158208752080E+08,  5.334778274469078E+03,
2458979.500000000, A.D. 2020-May-10 00:00:00.0000, -9.804947047029425E+07, -1.149121654193674E+08,  5.505676174700260E+03,
2458980.500000000, A.D. 2020-May-11 00:00:00.0000, -9.612061324998616E+07, -1.165757446421634E+08,  5.677277242213488E+03,
2458981.500000000, A.D. 2020-May-12 00:00:00.0000, -9.416411391854268E+07, -1.182060947467141E+08,  5.843914140947163E+03,
2458982.500000000, A.D. 2020-May-13 00:00:00.0000, -9.218049844514547E+07, -1.198027484773342E+08,  6.000611744448543E+03,
2458983.500000000, A.D. 2020-May-14 00:00:00.0000, -9.017030899968424E+07, -1.213652389434374E+08,  6.143253739148378E+03,
2458984.500000000, A.D. 2020-May-15 00:00:00.0000, -8.813410422606465E+07, -1.228931029236422E+08,  6.268625242859125E+03,
2458985.500000000, A.D. 2020-May-16 00:00:00.0000, -8.607245876923364E+07, -1.243858833885205E+08,  6.374387861564755E+03,
2458986.500000000, A.D. 2020-May-17 00:00:00.0000, -8.398596255472605E+07, -1.258431313000480E+08,  6.459032286502421E+03,
2458987.500000000, A.D. 2020-May-18 00:00:00.0000, -8.187522012895302E+07, -1.272644069000590E+08,  6.521836245499551E+03,
2458988.500000000, A.D. 2020-May-19 00:00:00.0000, -7.974085019573097E+07, -1.286492807389408E+08,  6.562839945442975E+03,
2458989.500000000, A.D. 2020-May-20 00:00:00.0000, -7.758348535396756E+07, -1.299973346721898E+08,  6.582839276470244E+03,
2458990.500000000, A.D. 2020-May-21 00:00:00.0000, -7.540377195012501E+07, -1.313081629982417E+08,  6.583388745293021E+03,
2458991.500000000, A.D. 2020-May-22 00:00:00.0000, -7.320236990029643E+07, -1.325813738399037E+08,  6.566800766907632E+03,
2458992.500000000, A.D. 2020-May-23 00:00:00.0000, -7.097995230909406E+07, -1.338165907900077E+08,  6.536125464819372E+03,
2458993.500000000, A.D. 2020-May-24 00:00:00.0000, -6.873720471905273E+07, -1.350134547579323E+08,  6.495095792524517E+03,
2458994.500000000, A.D. 2020-May-25 00:00:00.0000, -6.647482386545236E+07, -1.361716258816883E+08,  6.448026638634503E+03,
2458995.500000000, A.D. 2020-May-26 00:00:00.0000, -6.419351587819947E+07, -1.372907853267909E+08,  6.399662756420672E+03,
2458996.500000000, A.D. 2020-May-27 00:00:00.0000, -6.189399394443815E+07, -1.383706367870108E+08,  6.354977002024651E+03,
2458997.500000000, A.D. 2020-May-28 00:00:00.0000, -5.957697549935877E+07, -1.394109075254916E+08,  6.318925314836204E+03,
2458998.500000000, A.D. 2020-May-29 00:00:00.0000, -5.724317903646106E+07, -1.404113488229349E+08,  6.296167074806988E+03,
2458999.500000000, A.D. 2020-May-30 00:00:00.0000, -5.489332063477357E+07, -1.413717357035266E+08,  6.290760101549327E+03,
2459000.500000000, A.D. 2020-May-31 00:00:00.0000, -5.252811032670972E+07, -1.422918657774442E+08,  6.305842075675726E+03,
2459001.500000000, A.D. 2020-Jun-01 00:00:00.0000, -5.014824852170373E+07, -1.431715569978091E+08,  6.343318692907691E+03,
2459002.500000000, A.D. 2020-Jun-02 00:00:00.0000, -4.775442287612179E+07, -1.440106441513220E+08,  6.403595008976758E+03,
2459003.500000000, A.D. 2020-Jun-03 00:00:00.0000, -4.534730620819559E+07, -1.448089740772706E+08,  6.485405356533825E+03,
